"filename", "language", "JavaScript JSX", "XML", "JSON", "Properties", "comment", "blank", "total"
"c:\Users\Σταύρος\Desktop\wrotit\.env", "Properties", 0, 0, 0, 3, -1, 0, 2
"c:\Users\Σταύρος\Desktop\wrotit\package-lock.json", "JSON", 0, 0, 13, 0, 0, 0, 13
"c:\Users\Σταύρος\Desktop\wrotit\package.json", "JSON", 0, 0, 1, 0, 0, 0, 1
"c:\Users\Σταύρος\Desktop\wrotit\src\App.jsx", "JavaScript JSX", 85, 0, 0, 0, 38, -7, 116
"c:\Users\Σταύρος\Desktop\wrotit\src\Header\Login.jsx", "JavaScript JSX", 23, 0, 0, 0, 13, 2, 38
"c:\Users\Σταύρος\Desktop\wrotit\src\Header\Searchbar.jsx", "JavaScript JSX", 10, 0, 0, 0, 0, 0, 10
"c:\Users\Σταύρος\Desktop\wrotit\src\Header\Signup.jsx", "JavaScript JSX", 2, 0, 0, 0, 0, 0, 2
"c:\Users\Σταύρος\Desktop\wrotit\src\LoggedInfo\CommunityCreator.jsx", "JavaScript JSX", 1, 0, 0, 0, 0, 0, 1
"c:\Users\Σταύρος\Desktop\wrotit\src\LoggedInfo\LoggedInfo.jsx", "JavaScript JSX", 1, 0, 0, 0, 0, 0, 1
"c:\Users\Σταύρος\Desktop\wrotit\src\LoggedInfo\MyLikes.jsx", "JavaScript JSX", 1, 0, 0, 0, 0, 2, 3
"c:\Users\Σταύρος\Desktop\wrotit\src\LoggedInfo\MyPosts.jsx", "JavaScript JSX", 1, 0, 0, 0, 0, 1, 2
"c:\Users\Σταύρος\Desktop\wrotit\src\NavBar\NavbarCommunities\Communities.jsx", "JavaScript JSX", 1, 0, 0, 0, 0, 1, 2
"c:\Users\Σταύρος\Desktop\wrotit\src\NavBar\NavbarCommunities\SelectedCommunity.jsx", "JavaScript JSX", 1, 0, 0, 0, 0, 0, 1
"c:\Users\Σταύρος\Desktop\wrotit\src\Post Creation\CreatePost.jsx", "JavaScript JSX", 5, 0, 0, 0, 0, 1, 6
"c:\Users\Σταύρος\Desktop\wrotit\src\Post Creation\ImageDropzone.jsx", "JavaScript JSX", 1, 0, 0, 0, 0, 0, 1
"c:\Users\Σταύρος\Desktop\wrotit\src\PostPage\ImageCarousel.jsx", "JavaScript JSX", 16, 0, 0, 0, -5, -5, 6
"c:\Users\Σταύρος\Desktop\wrotit\src\PostPage\Likes.jsx", "JavaScript JSX", 1, 0, 0, 0, 0, 0, 1
"c:\Users\Σταύρος\Desktop\wrotit\src\PostPage\PostCard.jsx", "JavaScript JSX", -4, 0, 0, 0, 0, -5, -9
"c:\Users\Σταύρος\Desktop\wrotit\src\PostPage\SelectedPostPage.jsx", "JavaScript JSX", 1, 0, 0, 0, 0, -1, 0
"c:\Users\Σταύρος\Desktop\wrotit\src\PostPage\Share.jsx", "JavaScript JSX", 1, 0, 0, 0, 0, 0, 1
"c:\Users\Σταύρος\Desktop\wrotit\src\SearchTermInSearchbar.jsx", "JavaScript JSX", 100, 0, 0, 0, 8, 8, 116
"c:\Users\Σταύρος\Desktop\wrotit\src\backend\ServersAndSchemas\CommunityServer.js", "JavaScript JSX", 16, 0, 0, 0, 0, 1, 17
"c:\Users\Σταύρος\Desktop\wrotit\src\backend\ServersAndSchemas\PostServer.js", "JavaScript JSX", 21, 0, 0, 0, -1, 3, 23
"c:\Users\Σταύρος\Desktop\wrotit\src\backend\ServersAndSchemas\UserServer.js", "JavaScript JSX", 8, 0, 0, 0, 0, 1, 9
"c:\Users\Σταύρος\Desktop\wrotit\src\config.js", "JavaScript JSX", 13, 0, 0, 0, 0, 4, 17
"c:\Users\Σταύρος\Desktop\wrotit\src\images\speech.svg", "XML", 0, 26, 0, 0, 1, 1, 28
"Total", "-", 305, 26, 14, 3, 53, 7, 408